time_of_day,hour,road_length_a_m,road_length_b_m,lane_a_car,lane_a_motorcycle,lane_a_bus,lane_a_truck,lane_a_total,lane_b_car,lane_b_motorcycle,lane_b_bus,lane_b_truck,lane_b_total,winner,gate_open_seconds
14:03,14,300,100,0,3,0,1,4,4,2,1,2,9,B,21.0
23:57,23,300,200,2,3,0,2,7,1,3,1,0,5,A,15.5
20:17,20,300,200,1,2,1,0,4,2,1,1,1,5,B,12.0
10:57,10,300,50,1,1,0,1,3,1,1,0,1,3,A,7.0
13:21,13,300,200,3,0,0,1,4,3,0,2,1,6,B,15.5
15:00,15,150,150,3,3,2,2,10,4,1,1,0,6,A,23.5
08:27,8,200,50,3,2,2,2,9,6,3,2,0,11,A,22.0
14:58,14,100,300,4,0,1,2,7,4,0,0,2,6,A,18.0
13:08,13,200,100,0,2,1,1,4,1,3,1,1,6,B,13.0
12:17,12,200,150,0,3,0,2,5,4,0,1,0,5,A,11.5
20:04,20,500,50,0,1,0,0,1,4,1,0,0,5,B,9.5
15:42,15,50,300,1,3,2,1,7,2,1,2,2,7,B,18.5
23:45,23,50,100,1,0,2,0,3,1,3,1,2,7,B,16.5
06:04,6,300,500,1,0,2,1,4,4,0,2,0,6,B,14.0
11:34,11,200,500,2,0,2,2,6,2,0,1,1,4,A,17.0
03:27,3,150,500,1,1,1,0,3,2,2,2,2,8,B,20.0
15:29,15,200,500,4,2,1,0,7,0,2,1,0,3,A,14.0
14:36,14,300,500,3,2,0,1,6,2,1,1,0,4,A,12.5
11:51,11,150,150,2,2,2,0,6,4,1,0,0,5,A,13.0
23:26,23,200,300,0,3,2,2,7,1,3,0,0,4,A,17.5
09:14,9,200,500,1,2,2,2,7,2,3,2,2,9,B,21.5
11:27,11,500,300,2,2,2,1,7,2,2,1,0,5,A,16.5
03:46,3,100,150,0,1,0,0,1,2,3,1,2,8,B,18.5
18:48,18,300,300,2,0,0,1,3,1,2,0,1,4,B,8.5
00:45,0,300,100,1,0,0,2,3,1,1,2,1,5,B,13.0
03:55,3,50,300,1,3,1,1,6,1,1,0,1,3,A,13.0
15:07,15,50,200,3,0,2,2,7,0,1,0,2,3,A,19.0
09:05,9,100,50,4,3,2,2,11,6,1,2,1,10,A,25.5
14:58,14,200,150,4,3,1,2,10,4,0,2,2,8,A,22.5
03:48,3,100,500,0,2,2,0,4,0,1,0,2,3,B,8.5
02:10,2,50,200,1,3,1,0,5,0,2,2,1,5,B,12.5
22:55,22,200,50,2,1,1,2,6,2,1,1,0,4,A,15.5
17:14,17,500,100,2,1,0,0,3,1,2,2,2,7,B,18.0
18:58,18,150,200,0,3,2,1,6,5,3,1,2,11,B,24.5
17:31,17,200,50,4,0,1,2,7,2,2,0,0,4,A,18.0
07:43,7,300,300,0,2,2,0,4,6,1,1,2,10,B,23.5
20:28,20,150,100,4,3,2,1,10,0,3,1,1,5,A,22.0
10:20,10,500,50,1,2,1,2,6,3,2,2,1,8,A,15.0
17:02,17,200,50,2,2,1,0,5,6,3,2,0,11,B,22.5
21:55,21,300,200,3,0,0,2,5,2,3,2,1,8,B,18.0
01:13,1,150,300,0,2,1,2,5,1,0,0,2,3,A,13.0
19:51,19,100,500,1,2,2,0,5,4,3,0,0,7,B,12.5
03:29,3,50,500,0,3,2,1,6,2,2,1,1,6,B,13.5
15:15,15,200,300,1,3,0,2,6,4,1,0,1,6,B,13.0
13:21,13,300,150,0,2,2,1,5,4,3,0,1,8,B,16.0
17:30,17,150,150,4,3,1,1,9,6,1,2,0,9,B,19.5
18:24,18,100,200,0,2,2,1,5,5,3,1,2,11,B,24.5
20:09,20,200,50,1,2,0,1,4,0,3,0,2,5,B,11.5
04:26,4,500,100,0,3,1,1,5,2,3,2,0,7,A,11.0
10:54,10,500,300,3,2,2,2,9,3,0,2,0,5,A,22.0
07:40,7,500,150,1,0,1,0,2,6,0,1,0,7,B,15.0
22:19,22,50,50,1,0,1,1,3,1,3,0,0,4,A,8.5
16:26,16,300,500,1,1,0,0,2,4,3,2,2,11,B,25.5
07:31,7,300,100,1,3,2,1,7,3,2,2,0,7,A,16.0
14:57,14,150,500,4,1,0,1,6,2,2,2,1,7,B,16.5
22:16,22,200,150,0,3,1,0,4,0,3,2,1,6,B,14.0
18:18,18,500,150,0,3,1,0,4,4,0,2,2,8,B,21.0
15:53,15,150,100,4,2,0,2,8,1,2,2,2,7,A,18.0
21:43,21,100,500,0,0,1,1,2,0,2,2,0,4,B,9.0
02:58,2,150,150,2,3,0,0,5,0,2,2,2,6,B,16.0
08:53,8,100,150,6,3,1,2,12,6,2,0,1,9,A,26.5
02:09,2,100,500,2,3,2,1,8,0,3,0,1,4,A,18.0
17:07,17,200,150,5,2,2,1,10,6,2,0,2,10,A,22.5
07:30,7,50,300,4,2,2,0,8,5,0,2,1,8,B,19.5
22:19,22,500,200,0,1,0,0,1,1,3,0,0,4,B,6.5
07:56,7,300,100,3,3,1,2,9,5,3,2,2,12,B,27.5
23:09,23,200,500,0,3,2,1,6,1,0,2,1,4,B,11.5
06:28,6,200,100,2,0,2,1,5,4,2,0,1,7,A,13.5
08:12,8,50,200,0,1,2,2,5,4,0,0,1,5,A,14.5
07:08,7,300,100,0,1,2,0,3,6,1,1,0,8,B,16.5
19:00,19,150,100,1,2,0,0,3,5,0,0,0,5,B,10.0
11:50,11,100,300,2,0,0,1,3,0,1,2,1,4,B,11.0
16:07,16,500,50,3,3,1,2,9,4,0,1,2,7,A,20.5
07:39,7,50,500,6,2,1,2,11,0,0,1,1,2,A,25.0
13:43,13,50,200,3,0,0,1,4,4,1,0,0,5,B,9.5
08:39,8,500,300,4,2,1,2,9,4,2,1,2,9,A,21.0
19:27,19,50,500,0,1,1,1,3,1,3,1,1,6,B,13.0
12:26,12,500,50,2,3,1,2,8,2,2,0,2,6,A,18.5
15:04,15,50,50,0,3,0,2,5,2,1,2,0,5,A,11.5
18:35,18,300,150,5,0,1,1,7,6,3,2,0,11,B,22.5
09:38,9,150,150,0,1,0,2,3,3,1,0,1,5,B,11.0
17:23,17,50,150,4,1,1,2,8,6,0,2,2,10,B,25.0
22:17,22,50,100,1,2,1,1,5,0,1,0,2,3,A,11.5
21:25,21,50,100,0,0,2,2,4,1,3,1,1,6,B,13.0
10:10,10,150,150,2,0,0,0,2,1,0,2,0,3,B,8.0
08:28,8,500,200,3,3,1,1,8,1,0,1,1,3,A,17.0
03:18,3,500,500,2,3,2,2,9,1,0,0,1,2,A,21.5
19:03,19,50,100,2,1,0,1,4,2,2,0,0,4,A,9.0
15:47,15,200,100,1,3,2,2,8,1,2,0,1,4,A,19.5
23:02,23,200,50,1,0,1,2,4,1,3,2,2,8,B,19.5
13:18,13,50,200,0,2,0,2,4,3,2,0,1,6,B,12.5
03:15,3,200,300,1,0,1,1,3,2,2,0,1,5,B,10.5
05:04,5,300,500,0,1,1,1,3,2,1,0,0,3,A,8.0
04:16,4,100,100,2,1,2,0,5,0,3,1,2,6,B,14.5
18:28,18,500,300,5,2,2,1,10,1,3,0,1,5,A,22.5
14:40,14,150,150,4,0,1,2,7,0,2,1,1,4,A,18.0
01:03,1,150,150,0,0,2,2,4,2,3,1,2,8,B,18.5
17:50,17,500,50,3,1,1,2,7,3,1,0,1,5,A,17.5
03:51,3,150,500,0,1,0,0,1,2,3,1,2,8,B,18.5
16:39,16,100,150,2,2,1,1,6,2,0,2,2,6,B,17.0
10:04,10,150,50,4,3,1,1,9,4,1,1,0,6,A,19.0
18:42,18,100,150,2,3,0,2,7,5,0,1,2,8,B,20.0
12:41,12,150,100,4,0,2,2,8,3,2,0,1,6,A,21.0
09:11,9,100,150,6,3,0,0,9,1,1,0,1,3,A,16.5
03:32,3,300,500,2,0,2,1,5,2,1,2,1,6,B,15.0
04:10,4,100,500,2,1,2,1,6,0,3,1,2,6,B,14.5
23:15,23,200,300,1,3,0,2,6,0,2,1,0,3,A,13.5
11:43,11,300,200,3,2,1,2,8,4,3,0,0,7,A,19.0
19:08,19,150,50,5,3,1,2,11,0,0,1,0,1,A,24.5
05:17,5,200,300,0,3,0,0,3,1,2,0,1,4,B,8.5
01:25,1,300,150,0,3,0,1,4,0,0,1,0,1,A,8.0
22:41,22,150,100,0,0,1,1,2,2,1,2,1,6,B,15.0
14:39,14,50,50,0,2,0,0,2,4,3,0,1,8,B,16.0
07:19,7,50,50,1,3,2,2,8,3,0,0,1,4,A,19.5
19:34,19,50,500,4,1,2,0,7,2,3,0,2,7,B,15.5
11:15,11,300,200,1,0,2,1,4,0,0,1,1,2,A,11.5
01:40,1,200,150,1,0,1,0,2,1,1,2,2,6,B,16.5
20:06,20,300,500,2,1,0,1,4,4,2,2,0,8,B,17.0
21:29,21,500,200,1,1,0,2,4,3,0,1,0,4,A,10.5
01:50,1,100,50,1,2,2,1,6,2,3,1,0,6,A,14.5
20:12,20,150,150,0,2,1,0,3,2,3,1,2,8,B,18.5
14:57,14,200,150,1,3,2,1,7,2,2,0,2,6,A,16.0
13:05,13,200,300,1,2,1,0,4,0,2,2,1,5,B,12.5
09:28,9,300,500,3,1,2,1,7,2,3,0,2,7,B,15.5
11:39,11,200,150,0,0,2,2,4,3,2,2,2,9,B,22.0
21:10,21,50,100,4,3,0,0,7,0,1,2,1,4,A,12.5
11:24,11,300,50,4,1,2,1,8,2,2,1,0,5,A,19.0
18:08,18,300,150,3,2,2,1,8,1,0,0,2,3,A,18.5
05:31,5,300,200,2,0,1,1,4,2,3,0,2,7,B,15.5
09:44,9,200,100,0,1,0,1,2,1,3,0,2,6,B,13.5
10:42,10,150,500,0,2,1,0,3,1,2,2,0,5,B,11.0
03:12,3,100,100,1,0,1,2,4,2,2,1,2,7,B,17.0
04:39,4,50,50,1,3,2,2,8,1,3,1,2,7,A,19.5
02:08,2,150,500,0,3,1,2,6,2,2,0,2,6,B,14.0
20:37,20,100,100,3,0,0,2,5,1,2,0,0,3,A,13.0
10:59,10,500,100,2,2,0,1,5,1,2,0,2,5,A,10.5
09:39,9,300,50,4,1,2,2,9,1,1,2,2,6,A,22.5
23:57,23,300,150,2,0,0,0,2,0,2,2,0,4,B,9.0
18:26,18,300,500,0,3,2,2,7,2,2,1,0,5,A,17.5
21:25,21,150,200,0,0,0,1,1,3,3,1,0,7,B,13.5
10:38,10,100,150,2,2,1,0,5,2,0,1,0,3,A,10.0
14:07,14,150,200,1,1,0,0,2,2,3,2,1,8,B,18.0
07:55,7,100,150,4,2,0,0,6,3,3,1,1,8,B,17.0
15:01,15,50,200,4,3,0,0,7,4,2,0,0,6,B,11.0
09:31,9,300,500,5,3,1,2,11,0,0,1,0,1,A,24.5
08:46,8,150,200,2,0,1,0,3,4,1,1,2,8,B,19.5
09:04,9,200,300,3,2,2,2,9,4,0,0,0,4,A,22.0
12:23,12,150,300,2,1,0,2,5,4,3,2,0,9,B,18.5
01:02,1,100,500,1,3,2,1,7,0,1,1,2,4,A,16.0
10:10,10,200,300,2,2,2,2,8,4,3,2,2,11,B,25.5
09:30,9,50,150,2,0,1,2,5,2,0,2,1,5,B,13.5
08:41,8,300,300,1,0,2,1,4,1,3,0,2,6,B,13.5
07:02,7,300,500,0,1,0,1,2,2,3,0,1,6,B,12.0
22:13,22,200,300,2,3,2,2,9,0,1,2,0,3,A,21.5
17:20,17,500,200,4,3,1,0,8,3,2,2,1,8,A,15.5
21:49,21,500,500,2,3,0,0,5,2,2,0,1,5,B,10.5
09:45,9,100,500,5,3,1,1,10,2,2,1,0,5,A,21.0
18:43,18,300,200,3,2,0,1,6,0,2,2,0,4,A,12.5
11:59,11,200,500,2,3,0,0,5,4,2,2,2,10,B,24.0
08:08,8,50,300,5,1,0,0,6,5,1,2,0,8,B,17.5
01:06,1,200,150,2,3,0,2,7,0,0,2,0,2,A,15.5
13:41,13,200,200,1,2,1,1,5,0,0,2,2,4,B,13.0
07:34,7,500,500,6,0,0,1,7,6,1,0,1,8,B,17.0
15:11,15,500,150,0,0,1,2,3,4,0,1,1,6,B,14.5
14:41,14,300,300,3,1,2,1,7,2,1,0,1,4,A,17.0
05:46,5,200,500,1,1,0,2,4,1,2,2,2,7,B,18.0
06:11,6,300,500,3,3,2,1,9,0,3,2,0,5,A,20.0
05:08,5,200,150,0,0,1,1,2,0,3,1,1,5,B,11.0
09:37,9,500,300,0,2,2,1,5,5,1,0,2,8,B,18.5
03:29,3,150,100,1,2,2,0,5,2,2,1,2,7,B,17.0
07:14,7,100,200,1,3,2,2,8,2,3,2,2,9,B,21.5
15:48,15,300,500,1,1,2,2,6,0,3,2,2,7,B,17.5
11:04,11,300,50,0,1,2,2,5,1,1,1,2,5,A,14.5
14:07,14,500,100,4,3,0,2,9,3,0,1,0,4,A,19.5
16:26,16,200,300,0,3,2,1,6,0,3,1,0,4,A,14.0
23:13,23,300,50,0,3,1,2,6,0,0,0,1,1,A,14.5
01:18,1,200,100,0,3,1,1,5,1,3,1,0,5,A,11.0
21:42,21,300,100,2,0,0,2,4,3,1,2,0,6,B,13.5
00:48,0,50,150,1,3,2,1,7,0,1,1,1,3,A,16.0
04:17,4,100,500,0,0,2,1,3,2,0,0,0,2,A,9.5
02:06,2,300,50,1,0,0,2,3,0,3,1,0,4,A,9.0
17:13,17,50,100,4,2,0,2,8,4,2,2,2,10,B,24.0
21:52,21,150,100,2,1,2,2,7,1,3,1,1,6,A,18.5
01:35,1,300,500,0,3,2,1,6,0,2,2,2,6,B,16.0
12:50,12,300,150,3,3,0,1,7,3,1,2,1,7,B,17.0
07:54,7,100,150,6,1,1,0,8,4,3,1,2,10,B,22.5
16:08,16,200,100,2,1,1,2,6,0,3,1,0,4,A,15.5
17:46,17,100,50,2,3,2,2,9,4,0,0,0,4,A,21.5
18:46,18,500,300,1,3,0,1,5,2,0,0,0,2,A,10.0
23:07,23,500,200,0,1,1,0,2,2,2,1,1,6,B,13.5
14:34,14,500,150,2,2,1,2,7,3,3,0,2,8,A,17.0
15:48,15,150,100,2,2,1,0,5,4,1,2,0,7,B,15.5
00:16,0,300,300,2,3,1,0,6,0,2,0,1,3,A,11.5
18:53,18,100,200,4,2,1,1,8,5,3,1,0,9,B,17.5
23:50,23,150,100,0,3,0,2,5,2,0,2,0,4,A,11.5
02:52,2,500,50,0,3,0,2,5,0,0,2,0,2,A,11.5
00:13,0,300,200,1,0,2,2,5,2,3,2,1,8,B,18.0
00:00,0,300,300,1,0,0,2,3,2,2,2,1,7,B,16.5
00:32,0,500,500,1,1,0,0,2,2,1,0,0,3,B,5.5
19:33,19,150,150,2,3,0,1,6,3,3,2,0,8,B,16.5
22:14,22,150,500,0,0,0,1,1,1,3,2,1,7,B,16.0
01:40,1,50,500,0,0,1,1,2,2,2,2,0,6,B,13.0
16:58,16,50,100,1,3,1,0,5,0,2,2,2,6,B,16.0
21:02,21,100,150,0,1,2,0,3,3,0,1,0,4,B,9.0
18:15,18,300,200,5,2,1,2,10,1,0,2,2,5,A,23.0
11:03,11,50,200,1,0,1,2,4,4,3,1,0,8,B,15.5
20:17,20,200,200,1,2,2,1,6,3,1,2,2,8,B,20.5
21:24,21,50,300,2,1,2,0,5,0,2,0,1,3,A,11.5
22:50,22,500,100,2,3,1,1,7,0,0,0,1,1,A,15.0
14:23,14,150,50,1,0,0,1,2,3,3,0,0,6,B,10.5
02:22,2,300,50,2,2,1,0,5,1,3,1,0,5,A,10.0
23:57,23,300,100,2,1,2,1,6,0,1,1,1,3,A,15.0
08:31,8,100,50,1,3,1,1,6,2,3,0,1,6,A,13.0
08:15,8,500,500,3,1,1,0,5,1,2,0,1,4,A,10.5
10:53,10,300,200,2,3,1,1,7,4,1,1,1,7,A,15.0
19:44,19,100,200,2,1,1,1,5,2,3,2,0,7,B,14.5
10:24,10,150,200,2,0,2,0,4,4,1,2,2,9,B,22.5
00:46,0,200,500,0,3,1,2,6,0,3,2,1,6,B,14.0
04:40,4,150,100,1,1,2,1,5,1,0,1,2,4,A,13.0
15:37,15,200,300,4,3,2,0,9,2,0,0,0,2,A,18.5
21:42,21,150,100,4,0,2,2,8,3,2,1,0,6,A,21.0
00:06,0,150,100,2,1,1,1,5,1,3,2,2,8,B,19.5
22:32,22,100,150,0,3,0,1,4,1,0,0,2,3,B,9.0
04:22,4,150,150,1,1,2,1,5,1,3,0,1,5,A,13.0
23:44,23,200,150,0,2,0,2,4,0,0,1,2,3,A,10.0
03:43,3,100,500,0,1,2,0,3,1,3,1,0,5,B,9.5
12:40,12,100,100,3,3,0,2,8,4,1,1,2,8,B,19.5
13:24,13,50,500,1,1,1,2,5,0,0,2,0,2,A,13.5
11:20,11,100,200,0,2,2,1,5,4,2,2,1,9,B,20.5
19:25,19,300,50,2,2,1,2,7,1,2,2,2,7,A,17.0
02:43,2,100,150,0,1,1,0,2,0,2,2,0,4,B,9.0
16:24,16,200,300,1,3,1,0,5,3,1,2,0,6,B,13.5
15:18,15,100,100,2,3,2,0,7,2,0,1,0,3,A,14.5
06:52,6,200,300,4,3,1,2,10,3,3,2,1,9,A,22.5
15:10,15,50,300,0,1,1,0,2,2,1,2,1,6,B,15.0
05:49,5,200,300,2,3,2,2,9,0,0,1,2,3,A,21.5
11:34,11,50,500,3,1,1,0,5,1,2,0,1,4,B,8.5
08:22,8,50,200,6,0,0,0,6,6,2,2,2,12,B,28.0
20:27,20,100,300,1,1,0,0,2,4,2,2,1,9,B,20.5
19:34,19,100,150,5,2,1,2,10,2,0,0,1,3,A,23.0
01:17,1,500,100,2,1,0,0,3,2,2,0,2,6,B,14.0
12:31,12,100,300,2,3,1,1,7,0,0,1,2,3,A,15.0
23:17,23,500,150,1,3,1,2,7,0,0,2,1,3,A,16.5
20:42,20,500,150,0,3,0,1,4,1,3,1,1,6,B,13.0
09:21,9,300,300,1,3,1,2,7,6,0,0,0,6,A,16.5
20:50,20,200,50,0,1,1,1,3,0,3,0,2,5,B,11.5
04:56,4,500,150,0,2,0,2,4,1,2,0,1,4,A,10.0
21:57,21,500,100,0,3,2,1,6,1,3,2,0,6,A,14.0
22:06,22,50,100,1,0,0,2,3,0,3,0,0,3,A,9.0
22:21,22,50,200,2,1,1,0,4,0,3,0,2,5,B,11.5
03:06,3,150,150,1,1,1,0,3,2,1,0,2,5,B,12.5
18:00,18,300,500,1,3,1,2,7,1,1,1,2,5,A,16.5
21:28,21,100,50,0,1,0,2,3,3,2,1,1,7,B,15.5
04:15,4,150,500,0,1,2,2,5,2,2,2,0,6,B,13.0
21:56,21,150,100,4,1,2,1,8,2,0,0,1,3,A,19.0
12:07,12,100,200,4,0,2,0,6,2,2,0,1,5,A,14.0
18:26,18,150,300,5,1,1,0,7,0,0,0,1,1,A,14.5
06:02,6,50,200,4,2,2,2,10,4,3,1,2,10,B,22.5
12:05,12,500,300,4,1,1,0,6,2,0,2,0,4,A,12.5
04:34,4,150,200,2,0,1,2,5,1,1,0,0,2,A,14.0
02:59,2,200,50,1,0,1,2,4,2,1,0,0,3,A,12.0
22:08,22,500,50,0,3,1,2,6,2,2,0,1,5,A,14.5
04:47,4,150,500,0,0,1,1,2,1,0,1,2,4,B,12.0
18:40,18,50,200,3,2,0,1,6,6,1,1,0,8,B,16.5
08:49,8,50,300,5,0,0,2,7,4,0,0,0,4,A,17.0
07:02,7,200,150,3,1,0,0,4,4,3,0,1,8,B,16.0
07:26,7,500,150,2,0,2,1,5,0,0,0,0,0,A,13.5
16:02,16,200,50,3,2,1,1,7,0,3,0,1,4,A,15.5
06:18,6,300,150,4,1,1,1,7,4,3,0,2,9,B,19.5
17:48,17,100,100,0,3,0,0,3,4,2,2,2,10,B,24.0
00:21,0,50,500,1,2,0,0,3,2,1,1,1,5,B,12.0
01:09,1,500,150,0,0,0,2,2,1,2,1,2,6,B,15.0
02:37,2,50,300,0,3,0,2,5,2,0,1,2,5,B,14.0
04:15,4,150,150,1,3,2,2,8,1,2,1,1,5,A,19.5
07:04,7,100,100,6,0,0,0,6,1,3,1,1,6,B,13.0
13:07,13,300,150,1,3,1,1,6,2,0,0,0,2,A,13.0
21:19,21,500,500,4,0,0,1,5,1,0,2,0,3,A,11.5
11:25,11,300,50,2,2,0,0,4,3,3,2,2,10,B,23.5
17:15,17,50,200,0,1,0,0,1,0,1,0,0,1,B,3.0
12:23,12,500,500,0,2,0,0,2,0,1,2,1,4,B,11.0
04:05,4,150,50,0,3,0,0,3,2,3,2,1,8,B,18.0
15:01,15,200,500,3,1,1,0,5,1,2,1,1,5,B,11.5
04:02,4,300,300,2,1,2,1,6,1,3,2,1,7,B,16.0
01:05,1,150,200,0,3,0,2,5,2,1,2,2,7,B,18.5
00:24,0,500,150,1,3,1,2,7,2,2,1,1,6,A,16.5
05:01,5,150,300,0,0,1,0,1,1,2,2,0,5,B,11.0
05:06,5,100,500,0,2,2,2,6,0,1,2,1,4,A,16.0
11:59,11,100,100,1,2,2,2,7,2,0,2,2,6,A,18.0
11:36,11,300,100,4,1,1,2,8,2,1,1,0,4,A,19.5
02:03,2,100,300,0,0,2,1,3,0,2,2,0,4,B,9.0
04:21,4,500,100,1,0,0,0,1,2,1,0,2,5,B,12.5
11:04,11,150,500,3,0,1,1,5,2,1,0,2,5,B,12.5
13:50,13,500,200,2,1,2,2,7,4,2,0,2,8,A,18.5
18:52,18,100,200,2,2,0,0,4,5,0,2,2,9,B,23.0
12:54,12,300,50,1,2,2,0,5,4,0,1,0,5,A,11.0
10:47,10,50,100,2,2,0,2,6,0,2,1,0,3,A,14.0
08:13,8,100,500,0,2,1,0,3,5,0,0,1,6,B,13.5
14:46,14,200,100,3,3,1,1,8,4,3,0,1,8,A,17.0
18:41,18,500,100,1,3,0,0,4,2,0,1,1,4,B,10.5
03:04,3,150,100,1,1,2,0,4,2,0,1,2,5,B,14.0
19:57,19,200,500,0,3,2,0,5,4,3,0,0,7,B,12.5
03:21,3,100,100,1,2,2,1,6,1,1,0,0,2,A,14.5
12:36,12,300,200,1,0,1,0,2,3,0,1,2,6,B,16.0
20:38,20,200,100,0,0,0,0,0,2,0,1,0,3,B,7.0
09:50,9,200,200,3,2,0,2,7,4,3,0,1,8,A,16.0
12:23,12,100,200,0,2,1,1,4,2,1,1,2,6,B,15.5
01:09,1,500,500,0,0,2,1,3,2,3,2,0,7,B,14.5
17:03,17,200,300,3,3,2,0,8,3,2,0,1,6,A,16.5
22:02,22,300,300,2,1,0,1,4,0,1,0,0,1,A,9.0
04:02,4,200,50,2,3,0,2,7,0,2,1,2,5,A,15.5
02:05,2,200,300,1,2,1,2,6,1,0,2,2,5,B,15.0
18:33,18,200,50,3,1,0,2,6,4,0,0,2,6,A,14.5
03:50,3,150,300,1,3,1,1,6,2,3,2,2,9,B,21.5
15:02,15,100,150,3,1,2,2,8,3,0,1,1,5,A,20.5
22:15,22,50,500,1,2,1,0,4,1,2,1,1,5,B,11.5
15:54,15,500,500,0,1,0,1,2,3,2,1,2,8,B,19.0
13:38,13,500,50,1,3,0,1,5,3,2,0,2,7,B,16.0
05:04,5,150,500,2,3,0,2,7,2,0,0,0,2,A,15.5
06:53,6,50,100,0,3,0,1,4,1,2,1,1,5,B,11.5
16:25,16,500,50,0,1,1,1,3,4,3,0,1,8,B,16.0
18:35,18,150,150,1,2,2,2,7,0,2,0,1,3,A,18.0
01:10,1,300,100,0,1,2,0,3,1,3,2,0,6,B,12.5
21:00,21,200,100,1,0,0,1,2,4,2,2,2,10,B,24.0
20:17,20,200,200,2,3,1,0,6,3,2,2,2,9,B,22.0
19:25,19,300,50,0,2,2,2,6,4,2,1,2,9,B,21.0
03:30,3,50,150,1,2,1,1,5,2,2,0,0,4,A,11.5
16:48,16,100,50,4,3,2,1,10,1,0,2,1,4,A,22.0
09:16,9,200,200,3,0,2,2,7,4,1,1,2,8,B,19.5
22:14,22,500,300,2,3,2,1,8,2,2,0,2,6,A,18.0
17:11,17,150,50,3,1,2,1,7,5,1,2,1,9,B,21.0
20:05,20,100,150,1,2,1,1,5,2,2,2,1,7,B,16.5
14:54,14,50,200,0,0,1,0,1,4,0,2,1,7,B,17.5
